"uvrd","lexa","umudc","reca","uvra","uvry","ruva","polb"
242.8116667,738.5883333,0,1696.681667,1252.276667,90.61,0,43.59833333
341.765,1726.663333,0,1942.601667,1407.586667,24.25833333,0,53.46833333
268.555,2161.133333,70.48333333,2103.701667,1456.77,0,29.94333333,57.52166667
144.0233333,1921.125,142.0983333,2006.843333,1409.568333,0,64.135,71.92333333
103.525,1619.07,151.3683333,1847.105,1260.02,0,60.05,60.95666667
83.96333333,1190.89,157.99,1653.853333,1043.75,64.61,36.96333333,56.86166667
92.25166667,849.2483333,178.5266667,1431.613333,841.59,54.9,16.56333333,35.03833333
96.46833333,655.355,156.8716667,1171.326667,571.8833333,39.93166667,0,19.44166667
117.2366667,494.62,156.1766667,949.7816667,352.265,24.29666667,0,19.72666667
118.905,439.2416667,142.3916667,793.28,244.055,11.74166667,0,28.03166667
91.12666667,368.7466667,122.7116667,688.285,231.9516667,9.123333333,0,34.80333333
88.77,382.2266667,86.77666667,634.6983333,206.785,23.70333333,13.65833333,40.76333333
90.12333333,337.565,70.50833333,566.6983333,207.63,28.91333333,5.705,51.62833333
116.5716667,257.7633333,47.23,494.675,227.3216667,26.345,3.593333333,31.74666667
109.3816667,292.9166667,30.78166667,472.4083333,229.7683333,15.63666667,12.795,20.59666667
98.50166667,287.015,48.43333333,464.7233333,210.7533333,5.783333333,0,28.23333333
73.28166667,227.6633333,57.375,394.5216667,185.435,0,0,29.58666667
50.03666667,216.045,34.17166667,383.9116667,165.2483333,0,2.228333333,23.58166667
45.985,238.9266667,36.34,432.2333333,153.7933333,0,0.338333333,35.15
40.07333333,210.1783333,29.68666667,395.7133333,143.5933333,12.60833333,2.98,40.93333333
58.32666667,183.9533333,15.01333333,373.94,143.9816667,27.96166667,0.463333333,36.06166667
58.50666667,165.0283333,19.79666667,371.1266667,134.0816667,22.02,16.425,45.14833333
46.93666667,182.38,32.57666667,386.2716667,107.805,18.29666667,19.91,47.04833333
31.90666667,188.3966667,52.92833333,367.355,81.03,18.98,17.08666667,50.55166667
22.41666667,182.615,57.57333333,320.6033333,86.47833333,19.305,14.59833333,47.62333333
19.25666667,169.57,66.395,310.9766667,85.68333333,9.528333333,14.32833333,48.43333333
13.20333333,163.6133333,60.95166667,313.8333333,95.20333333,13.715,0,43.76333333
17.96166667,164.42,39.37,253.6516667,105.0616667,20.76333333,0,37.295
28.90166667,141.8766667,34.28,248.74,99.65333333,20.34833333,5.128333333,29.25166667
50.495,89.80833333,29.41833333,263.0316667,78.34166667,12.27,3.726666667,26.50333333
44.505,101.6083333,27.76,261.735,67.54333333,10.88833333,0,25.75666667
70.2,133.7833333,31.875,232.7783333,77.24166667,12.49166667,0,26.72833333
86.82,123.6283333,38.45166667,228.0216667,69.655,19.36,0,35.58333333
78.06333333,125.5916667,38.07333333,259.8566667,62.51666667,15.05,0,30.035
69.30666667,169.635,40.925,282.47,70.92166667,18.51333333,4.788333333,28.83666667
67.20166667,164.885,39.91333333,269.2133333,74.12166667,14.28833333,2.94,25.315
41.18666667,159.155,34.09833333,244.2366667,61.16166667,3.495,10.02,27.44
26.82833333,131.76,25.42,169.6133333,56.93833333,0,15.595,20.24833333
23.735,117.5366667,15.16833333,131.7,67.68833333,0,6.683333333,21.02333333
20.33833333,112.975,7.128333333,103.1366667,79.195,0,0,20.54333333
18.385,103.38,8.178333333,57.17166667,85.94166667,0,0,5.63
22.30833333,102.4816667,21.05833333,85.11666667,87.62,0,0,1.328333333
20.58166667,91.635,16.67,137.2083333,94.49666667,0,0,0.308333333
25.29666667,71.67,17.51833333,175.0866667,89.79333333,0,0,1.743333333
38.22,68.645,23.065,172.6233333,77.405,0,0.061666667,0
50.435,94.6,18.46166667,194.7683333,77.615,0.2,6.435,5.205
65.70333333,89.63666667,18.1,196.7383333,84.17166667,4.905,21.855,4.098333333
66.76333333,88.53666667,21.25666667,169.2433333,80.62833333,5.03,16.48166667,2.885
65.20833333,121.2633333,23.46,140.6466667,67.99,0,13.64333333,0
98.50333333,1230.883333,130.605,1616.456667,1307.168333,87.16166667,0,0
